Name,State,Prog Length,School Type,2013_DRate,2012_DRate,2011DRate
LARRY'S BARBER COLLEGE,IL,3,3,48.3,50,0
NEW LIFE BUSINESS INSTITUTE,NY,3,3,47.3,38.2,32.4
JAY'S TECHNICAL INSTITUTE,TX,3,3,46.6,52.2,40.6
UNITED TRIBES TECHNICAL COLLEGE,ND,6,2,43.5,44.2,44.1
ISOTHERMAL COMMUNITY COLLEGE,NC,5,1,42.6,78.9,0
CR'U INSTITUTE OF COSMETOLOGY AND BARBERING,CA,3,3,42.4,33.3,22.5
CAPSTONE COLLEGE,CA,3,3,41.4,57.1,17.3
DENMARK TECHNICAL COLLEGE,SC,5,1,39.3,27.2,25
ROB ROY ACADEMY,MA,3,3,39.3,23.6,24
CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO,FC,7,6,39.2,36,28.2
NASHVILLE BARBER AND STYLE ACADEMY,TN,3,3,39.2,62.5,0
BUCHANAN BEAUTY COLLEGE,TN,3,3,38.7,22.5,12.5
UNIVERSITY OF SOUTH CAROLINA - UNION,SC,6,1,38.3,33.4,27.5
FLORIDA BARBER ACADEMY,FL,3,3,37.9,37.2,46.2
NORTHERN CALIFORNIA INSTITUTE OF COSMETOLOGY,CA,3,3,37.7,12.5,25
DAYMAR COLLEGE,OH,5,3,35.8,33.7,25.7
AARON'S ACADEMY OF BEAUTY,MD,3,3,35.8,38.8,43.9
CULPEPER COSMETOLOGY TRAINING CENTER,VA,3,1,35.7,37.5,27.7
VIRGINIA UNIVERSITY OF LYNCHBURG,VA,8,2,35.5,27,18.6
FLORIDA ACADEMY OF HEALTH & BEAUTY,FL,3,3,35.5,33.3,75
INTERNATIONAL SCHOOL OF BEAUTY,CA,3,3,35.4,33.6,22
SUMMIT SALON ACADEMY - PORTLAND,OR,4,3,35.4,28.8,31.8
ROB ROY ACADEMY,MA,3,3,35.3,22.5,25.8
SEBRING CAREER SCHOOLS,TX,3,3,35.2,34.2,29
DEL-MAR-VA BEAUTY ACADEMY,MD,3,3,35.1,14.5,21.8
SALON & SPA INSTITUTE,TX,3,3,34.8,33.3,13.7
NORTHWEST BEAUTY SCHOOL,TX,3,3,34.8,25.7,20
ROB ROY ACADEMY,MA,3,3,34.2,17.4,19.3
SNEAD STATE COMMUNITY COLLEGE,AL,5,1,33.9,0,0
FIRST CLASS COSMETOLOGY SCHOOL,WI,4,3,33.8,22.2,0
MENDOCINO COLLEGE,CA,5,1,33.3,18.4,14.7
KNOX BEAUTY COLLEGE,IN,3,3,33.3,29.7,27
ROBESON COMMUNITY COLLEGE,NC,5,1,33.2,36.6,0
CHERYL FELL'S SCHOOL OF BUSINESS,NY,3,3,32.4,26.8,29.4
CALDWELL COMMUNITY COLLEGE & TECHNICAL INSTITUTE,NC,5,1,32.3,28.1,28.9
WIREGRASS GEORGIA TECHNICAL COLLEGE,GA,5,1,32.3,0,0
COSMO BEAUTY ACADEMY,CA,3,3,32.3,16.9,30.7
COSMETIC ARTS INSTITUTE,SC,3,3,32.3,45.1,20
STARTING POINTS,NJ,3,2,32.2,19.3,0
SOUTHEAST KENTUCKY COMMUNITY AND TECHNICAL COLLEGE,KY,5,1,31.9,32.3,27.6
TOM P. HANEY TECHNICAL CENTER,FL,4,1,31.8,24.3,28.9
PIEDMONT COMMUNITY COLLEGE,NC,5,1,31.7,18.7,0
CRESCENT CITY SCHOOL OF GAMING & BARTENDING,LA,3,3,31.6,38.2,37.9
TEXARKANA COLLEGE,TX,5,1,31.2,0,0
CONCORDIA COLLEGE ALABAMA,AL,6,2,31,31.5,26.7
TRAVEL INSTITUTE OF THE PACIFIC,HI,3,3,31,27.6,39.6
COMPUTER TUTOR BUSINESS AND TECHNICAL INSTITUTE,CA,2,3,30.9,12.9,13.5
WASHINGTON COUNTY COMMUNITY COLLEGE,ME,5,1,30.8,34.5,29.5
PROTEGE ACADEMY,MI,3,3,30.8,28.5,50
ASSOCIATED TECHNICAL COLLEGE,CA,3,3,30.7,30.5,18.3
"FLORIDA INSTITUTE OF RECORDING, SOUND AND TECHNOLOGY",FL,2,3,30.5,0,0
MAHONING COUNTY CAREER AND TECHNICAL CENTER,OH,3,1,30.5,29.4,16.6
ALEXANDER ACADEMY,MA,3,3,30.5,0,0
MCDOWELL TECHNICAL COMMUNITY COLLEGE,NC,5,1,30.4,30.4,0
TOTAL LOOK SCHOOL OF COSMETOLOGY AND MASSAGE THERAPY,IA,4,3,30.3,31.2,33.3
ACADEMY OF COSMETOLOGY,WI,3,3,30.3,17.3,23.5
STAUNTON SCHOOL OF COSMETOLOGY,VA,3,3,30.3,25,16.6
MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE,KY,5,1,30.2,28.8,28.7
SOUTH MOUNTAIN COMMUNITY COLLEGE,AZ,5,1,30.2,28.5,28.5
ASHLAND COMMUNITY AND TECHNICAL COLLEGE,KY,5,1,30.1,27.6,28
WOODLAND COMMUNITY COLLEGE,CA,5,1,30.1,37.5,19.2
UNIVERSITY OF HAWAII MAUI COLLEGE,HI,6,1,30,28.3,26.3
ADVANCED TRAINING INSTITUTE,NV,3,3,30,25.1,20.6
SOUTH TEXAS VOCATIONAL TECHNICAL INSTITUTE,TX,3,3,29.8,40,32
REAL BARBERS COLLEGE (THE),CA,3,3,29.8,27.5,0
FAYETTEVILLE COLLEGE OF COSMETOLOGY ARTS & SCIENCES,TN,3,3,29.7,21.2,19.1
BLUE CLIFF CAREER COLLEGE,AL,4,3,29.6,21.4,21.2
MAYLAND COMMUNITY COLLEGE,NC,5,1,29.6,50,0
CENTRAL STATE UNIVERSITY,OH,8,1,29.5,29.9,20.1
WARDS CORNER BEAUTY ACADEMY,VA,4,3,29.5,18.4,21.9
GATEWAY COMMUNITY AND TECHNICAL COLLEGE,KY,5,1,29.4,28.9,31.8
WESTERN PIEDMONT COMMUNITY COLLEGE,NC,5,1,29.4,38.6,39.9
CONNECTICUT INSTITUTE OF HAIR DESIGN,CT,3,3,29.4,21.7,19.1
VANTAGE COLLEGE,TX,5,3,29.4,0,0
CREDENCE INSTITUTE OF BEAUTY,AR,3,3,29.3,30.6,33.3
WILEY COLLEGE,TX,6,2,29.2,21.4,25.3
BATON ROUGE SCHOOL OF COMPUTERS,LA,5,3,29.2,35.4,32.6
TRANSFORMED BARBER AND COSMETOLOGY ACADEMY,MO,3,3,29.1,27.4,30.9
SOUTHCENTRAL KENTUCKY COMMUNITY AND TECHNICAL COLLEGE,KY,5,1,29,29.3,31.1
HAZARD COMMUNITY AND TECHNICAL COLLEGE,KY,5,1,28.9,31.8,27.7
ALLEN UNIVERSITY,SC,6,2,28.9,29.1,31.8
TRI-COUNTY COMMUNITY COLLEGE,NC,5,1,28.8,57.1,0
JAMES SPRUNT COMMUNITY COLLEGE,NC,5,1,28.6,25.6,27.3
MILWAUKEE CAREER COLLEGE,WI,5,3,28.5,26.6,27.6
ROSS MEDICAL EDUCATION CENTER,OH,5,3,28.5,11.3,13.8
TRI COUNTY BEAUTY ACADEMY,IL,3,3,28.5,25,19
AILEY SCHOOL (THE),NY,11,2,28.5,13,14.2
PLATT COLLEGE,OK,6,3,28.3,35.9,16.3
LOUISBURG COLLEGE,NC,5,2,28.3,30.6,29.2
HARTNELL COMMUNITY COLLEGE,CA,5,1,28.3,20.4,28.9
PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,5,1,28.3,17,17.6
PALLADIUM TECHNICAL ACADEMY,CA,3,3,28.3,22.8,27.8
HAWAII INSTITUTE OF HAIR DESIGN,HI,3,3,28.3,20,20
CARIBBEAN UNIVERSITY,PR,8,2,28.2,30,29.6
BAINBRIDGE STATE COLLEGE,GA,6,1,28.1,29.7,28.4
HAWAII COMMUNITY COLLEGE,HI,5,1,28,27.6,23.9
WAYNE COMMUNITY COLLEGE,NC,5,1,28,22.3,15
SOUTH COLLEGE-ASHEVILLE,NC,6,3,27.9,15.3,19.3
SYLVAIN MELLOUL INTERNATIONAL HAIR ACADEMY,VA,3,3,27.9,22.5,19.4
GEORGIA NORTHWESTERN TECHNICAL COLLEGE,GA,5,1,27.8,22.7,0
LAMAR INSTITUTE OF TECHNOLOGY,TX,5,1,27.8,29,34.8
TEXAS COLLEGE,TX,6,2,27.8,25.5,23.5
COPPER MOUNTAIN COLLEGE,CA,5,1,27.8,25.7,16.9
CENTRAL NEW MEXICO COMMUNITY COLLEGE,NM,5,1,27.7,28.9,31.7
HARRIS - STOWE STATE UNIVERSITY,MO,6,1,27.7,25.6,29.6
PHOENIX COLLEGE,AZ,5,1,27.6,24.8,20.6
PIERPONT COMMUNITY & TECHNICAL COLLEGE,WV,5,1,27.6,28.8,36.7
APEX TECHNICAL SCHOOL,NY,3,3,27.5,20.3,15.8
HENDERSON COMMUNITY COLLEGE,KY,5,1,27.5,22.5,22.5
HALIFAX COMMUNITY COLLEGE,NC,5,1,27.5,32.8,39.5
OCEAN CORPORATION (THE),TX,3,3,27.5,21.8,18.5
TERRA STATE COMMUNITY COLLEGE,OH,5,1,27.4,28.1,33.4
GRAYS HARBOR COLLEGE,WA,6,1,27.4,26.2,27.4
KALAMAZOO VALLEY COMMUNITY COLLEGE,MI,5,1,27.3,24.2,32
GAVILAN COLLEGE,CA,5,1,27.3,27.9,27.2
BLADEN COMMUNITY COLLEGE,NC,5,1,27.3,32.5,0
BLUE MOUNTAIN COMMUNITY COLLEGE,OR,5,1,27.2,25.2,28.1
COLLEGE OF MARIN,CA,5,1,27.2,25.6,23.9
INTERNATIONAL BUSINESS COLLEGE,TX,5,3,27.2,19.3,15.3
SAE INSTITUTE OF TECHNOLOGY,TN,5,3,27.2,21.1,15.1
INSTITUTE OF AMERICAN INDIAN & ALASKA NATIVE CULTURE & ARTSDEVELO,NM,8,1,27.2,25,34.3
CLINTON COLLEGE,SC,6,2,27.2,35.2,28.7
WISCONSIN ACADEMY A PAUL MITCHELL PARTNER GROUP (THE),WI,4,3,27.2,21.6,28.4
SOMERSET COMMUNITY COLLEGE,KY,5,1,27.1,29.2,29.7
UEI COLLEGE,CA,3,3,27.1,26.3,22.5
FOND DU LAC TRIBAL & COMMUNITY COLLEGE,MN,5,1,27.1,22.8,22.9
LIVINGSTONE COLLEGE,NC,6,2,27.1,24.7,25.5
A - TECHNICAL COLLEGE,CA,3,3,27.1,27.2,31.4
SAFFORD COLLEGE OF BEAUTY CULTURE,AZ,3,3,27.1,29.7,13.1
GATEWAY TECHNICAL COLLEGE,WI,5,1,27,23.8,23.9
BIG SANDY COMMUNITY AND TECHNICAL COLLEGE,KY,5,1,27,27.1,29.1
HARRIS SCHOOL OF BUSINESS,NJ,3,3,27,20.5,13
CHEYNEY UNIVERSITY OF PENNSYLVANIA,PA,8,1,27,26.8,26.9
DAYMAR COLLEGE,KY,6,3,26.9,26.3,23.8
INTERNATIONAL COSMETOLOGY ACADEMY,MI,3,3,26.9,21.3,27.8
EVEREST UNIVERSITY,FL,8,2,26.8,21.2,21.5
SAINT PAUL COLLEGE - A COMMUNITY & TECHNICAL COLLEGE,MN,5,1,26.8,25.3,27.4
THREE RIVERS COMMUNITY COLLEGE,MO,5,1,26.8,28.2,21.8
VALLEY GRANDE INSTITUTE FOR ACADEMIC STUDIES,TX,3,2,26.8,25.6,33.2
NORTHWEST HVAC/R ASSOCIATION & TRAINING,WA,3,2,26.8,18.9,10.6
AMERITECH COLLEGE,UT,6,3,26.7,18.3,11.2
INSTITUTE FOR BUSINESS & TECHNOLOGY,CA,5,3,26.7,27.3,28.8
INSTITUTE OF TECHNOLOGY,CA,5,3,26.6,28.6,26.9
SOUTHWESTERN CHRISTIAN COLLEGE,TX,6,2,26.6,30.1,24.6
ABC BEAUTY COLLEGE,AR,3,3,26.6,19.2,17.7
MOUNTAIN STATE SCHOOL OF MASSAGE,WV,2,3,26.6,23.9,25.8
HARRIS SCHOOL OF BUSINESS,NJ,3,3,26.5,19,15.3
WEST KENTUCKY COMMUNITY AND TECHNICAL COLLEGE,KY,5,1,26.5,22.9,22.4
TOTAL COSMETOLOGY TRAINING CENTER,WA,3,3,26.5,26,25.2
KAUAI COMMUNITY COLLEGE,HI,5,1,26.5,25.9,21.2
NATIONAL LATINO EDUCATION INSTITUTE,IL,3,2,26.5,25,15.7
STARK STATE COLLEGE,OH,5,1,26.4,28.6,29.7
EVEREST INSTITUTE,TX,3,2,26.3,25.5,27.1
OWENSBORO COMMUNITY & TECHNICAL COLLEGE,KY,5,1,26.3,24.2,25.2
SOUTHEASTERN TECHNICAL COLLEGE,GA,5,1,26.3,29.2,0
EVEREST COLLEGE,VA,5,2,26.2,20.4,23
KLAMATH COMMUNITY COLLEGE,OR,5,1,26.2,28.4,29.4
CITY COLLEGES OF CHICAGO - KENNEDY KING COLLEGE,IL,5,1,26.1,20.4,16.9
LOS ANGELES TRADE-TECHNICAL COLLEGE,CA,5,1,26.1,32.2,20
AMERICAN BEAUTY ACADEMY,UT,4,3,26.1,23.5,11.1
WYOTECH,FL,5,2,26,24.3,25.5
ROANOKE CHOWAN COMMUNITY COLLEGE,NC,5,1,26,41.1,0
HAIR ACADEMY 110 (THE),MO,3,3,26,21.7,31.2
FARIS TECHNICAL INSTITUTE,TX,3,3,26,33.3,26.5
BELMONT COLLEGE,OH,5,1,25.9,25.8,28
BLUE RIDGE COMMUNITY AND TECHNICAL COLLEGE,WV,5,1,25.9,30.1,27.8
TALLADEGA COLLEGE,AL,6,2,25.9,28.1,28.8
LOUISIANA ACADEMY OF BEAUTY,LA,3,3,25.9,30.3,26.3
SUMMIT SALON ACADEMY,KY,4,3,25.8,25,22.6
COSMETOLOGY SCHOOL OF ARTS AND SCIENCES,ID,4,3,25.8,28.5,35.2
ELIZABETHTOWN COMMUNITY  AND TECHNICAL COLLEGE,KY,5,1,25.7,25.8,27.4
UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,8,1,25.7,24.7,29.9
WILKES COMMUNITY COLLEGE,NC,5,1,25.7,25.9,23.1
BLADES SCHOOL OF HAIR DESIGN,MD,3,3,25.7,16.9,16.9
JEFFERSON COMMUNITY AND TECHNICAL COLLEGE,KY,5,1,25.6,25,23.5
CENTRAL GEORGIA TECHNICAL COLLEGE,GA,5,1,25.6,21.8,0
DAYMAR INSTITUTE,TN,6,3,25.6,25,19.8
GLOBE INSTITUTE OF TECHNOLOGY,NY,6,3,25.6,26.7,21.3
NEW RIVER COMMUNITY AND TECHNICAL COLLEGE,WV,5,1,25.5,27.5,39.5
CCI TRAINING CENTER,TX,3,3,25.5,20.3,30.8
AMERICAN BUSINESS & TECHNOLOGY UNIVERSITY,MO,6,3,25.5,31.8,30
CAROLINA CHRISTIAN COLLEGE,NC,8,2,25.5,28.5,32.2
UMPQUA COMMUNITY COLLEGE,OR,5,1,25.4,25.4,34.5
UNITECH TRAINING ACADEMY,LA,4,3,25.4,26.3,33.5
UNIVERSITY OF SOUTH CAROLINA - SALKEHATCHIE,SC,6,1,25.4,25.9,21.5
EASTERN GATEWAY COMMUNITY COLLEGE,OH,5,1,25.4,30.1,30.1
SOUTHEAST ARKANSAS COLLEGE,AR,5,1,25.4,26.7,26.3
CENTRAL OREGON COMMUNITY COLLEGE,OR,5,1,25.3,27.7,23.9
SOUTHERN TECHNICAL COLLEGE,FL,5,3,25.3,20,16.2
NORTH GEORGIA TECHNICAL COLLEGE,GA,5,1,25.3,25.4,0
LUNA COMMUNITY COLLEGE,NM,5,1,25.3,24.7,26
PENNSYLVANIA ACADEMY OF COSMETOLOGY ARTS & SCIENCES,PA,3,3,25.3,27.5,28.2
UNITED EDUCATION INSTITUTE,CA,5,3,25.2,25.9,22
SOUTHERN ARKANSAS UNIVERSITY TECH,AR,5,1,25.2,21.9,27.6
LANE COMMUNITY COLLEGE,OR,5,1,25.1,24.6,27.4
VATTEROTT COLLEGE,IA,5,3,25.1,19.9,18.8
GUILFORD TECHNICAL COMMUNITY COLLEGE,NC,5,1,25,25.1,29.7
SOUTHWESTERN ILLINOIS COLLEGE,IL,5,1,25,24.9,22.9
RICHLAND COMMUNITY COLLEGE,IL,5,1,25,24.3,18
GARRETT COLLEGE,MD,5,1,25,23.9,21
HAYWOOD COMMUNITY COLLEGE,NC,5,1,25,30.7,0
BALTIMORE STUDIO OF HAIR DESIGN,MD,3,3,25,24.7,22.3
HILLSDALE BEAUTY COLLEGE,MI,3,3,25,27.6,22.2
SUNNYSIDE BEAUTY ACADEMY,WA,3,3,25,24.3,20.8
CC'S COSMETOLOGY COLLEGE,OK,3,3,25,19.4,27.4
FORSYTH TECHNICAL COMMUNITY COLLEGE,NC,5,1,24.9,18.9,0
AMERICAN RIVER COLLEGE,CA,5,1,24.8,26.3,25
LONG BEACH CITY COLLEGE,CA,5,1,24.8,24.2,30.1
SOUTHERN STATE COMMUNITY COLLEGE,OH,5,1,24.8,28.4,31.4
LAKE LANIER SCHOOL OF MASSAGE,GA,3,3,24.8,33.1,37.8
VATTEROTT COLLEGE,MO,6,3,24.7,19,20.9
CHARLES STEWART MOTT COMMUNITY COLLEGE,MI,5,1,24.7,24.8,19.2
PITT COMMUNITY COLLEGE,NC,5,1,24.7,23.6,23.6
UNIVERSIDAD CENTRAL DEL ESTE,FC,8,6,24.7,28.5,27.5
MEDICAL INSTITUTE OF PALM BEACH,FL,3,3,24.7,15.1,10.9
TREASURE VALLEY COMMUNITY COLLEGE,OR,5,1,24.6,25.2,32.2
LE CORDON BLEU COLLEGE OF CULINARY ARTS IN CHICAGO,IL,5,3,24.6,27.5,26.6
NORTHERN NEW MEXICO COLLEGE,NM,6,1,24.6,26.3,19.1
"COSMETOLOGY CAREERS UNLIMITED COLLEGE OF HAIR, SKIN, AND NAILS",MN,3,3,24.6,23.6,26.6
ALBANY TECHNICAL COLLEGE,GA,5,1,24.5,25,20
ROWAN-CABARRUS COMMUNITY COLLEGE,NC,5,1,24.5,28.7,0
ARIZONA WESTERN COLLEGE,AZ,5,1,24.5,27,21.4
SOUTHWEST SCHOOL OF BUSINESS & TECHNICAL CAREERS,TX,3,3,24.5,19.5,31.9
NORTH AMERICAN UNIVERSITY,TX,8,2,24.5,16.6,0
OLD TOWN BARBER  COLLEGE,KS,3,3,24.5,22.2,23
LE CORDON BLEU COLLEGE OF CULINARY ARTS,OR,5,3,24.4,24.5,22.6
READING AREA COMMUNITY COLLEGE,PA,5,1,24.4,25.7,26.4
MINERAL AREA COLLEGE,MO,5,1,24.4,23.3,24.3
SANTA FE COMMUNITY COLLEGE,NM,5,1,24.4,23.9,22
TREND BARBER COLLEGE,TX,3,3,24.4,24.7,25
NATIONAL ACADEMY OF BEAUTY ARTS,MO,3,3,24.4,28.4,30.4
