Rank,School Name,Annual ROI,Total 4 Year Cost,Graduation Rate,Typical Years to Graduate,Average Loan Amount
1,United States Merchant Marine Academy (USMMA)(Federal),19.1,33100,72,4,12300
2,SUNY - Maritime College(In-State),12.6,92300,47,5,32000
3,Brigham Young University (BYU) - Idaho Campus(Private),12.5,47500,56,6,18200
4,"California State University, Maritime (CSUM)(In-State)",12.4,87500,54,4,30600
5,Georgia Institute of Technology(In-State),12,96200,82,5,31700
5,Massachusetts Maritime Academy(In-State),12,89900,70,4,32000
7,Brigham Young University (BYU)(Private),11.8,70500,79,5,20200
8,Missouri University of Science and Technology (S&T)(In-State),11.7,87400,63,5,27500
8,Montana Tech of The University of Montana(In-State),11.7,75700,44,5,22400
8,University of Alaska - Fairbanks Campus(In-State),11.7,69100,32,5,23300
11,New Mexico Institute of Mining and Technology (New Mexico Tech)(In-State),11.6,76000,45,5,19600
12,Colorado School of Mines(In-State),11.1,123000,76,5,33400
12,Maine Maritime Academy(In-State),11.1,100000,70,4,43200
12,South Dakota School of Mines & Technology(In-State),11.1,89700,54,5,29200
15,West Virginia University Institute of Technology (WVU Tech)(In-State),11,71400,19,5,24300
16,California Polytechnic State University (CalPoly) - San Luis Obispo(In-State),10.9,98300,75,5,23400
17,Oregon Institute of Technology (OIT)(In-State),10.6,86400,47,5,24700
17,SUNY - Maritime College(Out-of-State),10.6,130000,47,5,32000
19,South Dakota School of Mines & Technology(Out-of-State),10.5,102000,54,5,29200
19,Texas A&M University - Main Campus(In-State),10.5,89700,79,5,24100
21,Virginia Military Institute (VMI)(In-State),10.4,106000,71,4,29500
22,SUNY - Binghamton University(In-State),10.3,92800,81,4,27800
22,University of Wisconsin (UW) - Platteville Campus(In-State),10.3,71600,52,5,27300
24,"California State University, Maritime (CSUM)(Out-of-State)",10.1,133000,54,4,30600
24,Michigan Technological University(In-State),10.1,107000,64,5,29300
24,Purdue University - Main Campus(In-State),10.1,92700,73,5,30200
24,San Jose State University (SJSU)(In-State),10.1,99200,52,5,21900
24,Weber State University(In-State),10.1,73700,35,5,19000
29,University of Maryland - College Park(In-State),10,96600,85,4,31200
29,Virginia Polytechnic Institute and State University (Virginia Tech)(In-State),10,102000,83,4,32400
31,California State Polytechnic University - Pomona(In-State),9.9,94500,56,5,22700
31,University of Virginia (UVA) - Main Campus(In-State),9.9,108000,94,4,29300
33,Iowa State University(In-State),9.8,76100,69,5,27500
33,Stony Brook University(In-State),9.8,89900,69,4,25300
33,University of Massachusetts (UMass) - Lowell Campus(In-State),9.8,104000,54,5,28500
33,Utah State University - Regional Campuses and Distance Education(In-State),9.8,72800,50,5,22900
37,University of Alabama in Huntsville(In-State),9.7,94100,46,5,25200
37,University of California - Berkeley(In-State),9.7,136000,91,4,23300
37,University of Washington - Bothell Campus(In-State),9.7,109000,67,5,20600
40,"Fashion Institute of Technology - New York, NY(In-State)",9.6,87600,74,N/A,32000
40,New Jersey Institute of Technology (NJIT)(In-State),9.6,131000,59,5,31900
42,Baptist Memorial College of Health Sciences(Private),9.5,87700,43,4,23900
42,George Mason University(In-State),9.5,103000,67,4,30100
42,Louisiana Tech University(In-State),9.5,75100,52,5,22000
42,Prairie View A & M University(In-State),9.5,77500,38,4,25700
42,University of Florida (UF)(In-State),9.5,80300,88,4,23400
47,James Madison University (JMU)(In-State),9.4,93400,82,4,29600
47,North Carolina State University (NCSU)(In-State),9.4,88200,75,5,24700
47,North Dakota State University (NDSU)(In-State),9.4,78600,56,5,34400
47,State University of New York (SUNY) at Farmingdale(In-State),9.4,90300,45,5,24700
47,"University of California - San Diego (UCSD), Warren College(In-State)",9.4,123000,86,4,22600
47,University of Houston (UH)(In-State),9.4,91400,48,5,24500
47,University of Michigan - Ann Arbor(In-State),9.4,107000,91,4,24700
54,California State University - Hayward(In-State),9.3,92200,38,5,23600
54,Texas Tech University(In-State),9.3,88100,59,5,30000
54,University of Alaska - Anchorage Campus(In-State),9.3,81600,25,5,21700
54,University of Texas (UT) - Austin(In-State),9.3,104000,81,5,22600
54,University of Texas at Dallas(In-State),9.3,99800,71,4,24500
54,University of Washington (UW) - Main Campus(In-State),9.3,107000,84,4,23600
54,"Victoria University - Victoria, TX(In-State)",9.3,73900,N/A,N/A,22900
61,California State University - Chico(In-State),9.2,91800,59,5,21400
61,Capitol College(Private),9.2,135000,41,5,37000
61,Mount Carmel College of Nursing(Private),9.2,99100,64,4,34100
61,North Carolina A&T State University(In-State),9.2,65800,48,5,27200
61,University of Illinois at Urbana-Champaign (UIUC)(In-State),9.2,117000,84,4,28700
61,University of Texas at Arlington (UTA)(In-State),9.2,90200,42,5,23800
61,West Virginia University (WVU) - Main Campus(In-State),9.2,76400,57,5,29700
68,California State University - Fresno (Fresno State)(In-State),9.1,81900,52,5,20300
68,Maine Maritime Academy(Out-of-State),9.1,145000,70,4,43200
68,Massachusetts Maritime Academy(Out-of-State),9.1,151000,70,4,32000
68,New Mexico State University - Main Campus(In-State),9.1,76000,46,5,20000
68,University of Utah(In-State),9.1,88700,62,5,32900
68,University of Wyoming (UW)(In-State),9.1,73700,54,5,26700
74,Lamar University(In-State),9,86600,33,5,25200
74,Montana State University - Main Campus(In-State),9,78500,50,5,27000
74,University of Delaware(In-State),9,103000,79,4,34400
74,University of Idaho(In-State),9,79200,58,5,27200
78,CUNY - Bernard M Baruch College(In-State),8.9,113000,66,5,18900
78,Montana Tech of The University of Montana(Out-of-State),8.9,125000,44,5,22400
78,New Mexico Institute of Mining and Technology (New Mexico Tech)(Out-of-State),8.9,123000,45,5,19600
78,University of Alaska - Fairbanks Campus(Out-of-State),8.9,115000,32,5,23300
78,University of North Carolina at Charlotte (UNCC)(In-State),8.9,77800,55,5,25900
83,California Polytechnic State University (CalPoly) - San Luis Obispo(Out-of-State),8.8,143000,75,5,23400
83,Louisiana State University and Agricultural & Mechanical College(In-State),8.8,94800,67,5,26000
83,Missouri University of Science and Technology (S&T)(Out-of-State),8.8,147000,63,5,27500
83,University of Iowa (UI)(In-State),8.8,84400,70,4,28400
83,University of Medicine and Dentistry of New Jersey(In-State),8.8,119000,81,4,30100
83,University of Wisconsin (UWEC) - Eau Claire(In-State),8.8,75700,68,5,27100
83,West Virginia University Institute of Technology (WVU Tech)(Out-of-State),8.8,107000,19,5,24300
90,California State University - Long Beach (CSULB)(In-State),8.7,90900,65,5,22000
90,Colorado School of Mines(Out-of-State),8.7,188000,76,5,33400
90,Georgia Institute of Technology(Out-of-State),8.7,174000,82,5,31700
